0 7 14 5468.75
1 11 14 537.109
2 9 14 1757.81
3 7 10 5468.75
4 12 14 292.969
5 12 14 292.969
6 8 14 3125
7 10 14 976.562
8 12 14 292.969
9 7 10 5468.75
10 7 2 5468.75
11 12 14 292.969
12 7 12 5468.75
13 7 14 5468.75
14 12 14 292.969
15 9 14 1757.81
16 7 4 5468.75
17 7 2 5468.75
18 7 14 5468.75
19 7 2 5468.75
20 12 14 292.969
21 12 14 292.969
22 8 14 3125
23 7 12 5468.75
24 7 6 5468.75
25 7 10 5468.75
26 7 14 5468.75
27 12 14 292.969
28 8 14 3125
29 8 14 3125
30 8 14 3125
31 7 12 5468.75
32 12 14 292.969
33 12 14 292.969
34 8 14 3125
35 7 12 5468.75
36 7 6 5468.75
37 12 14 292.969
38 12 14 292.969
39 9 14 1757.81
40 7 2 5468.75
41 7 8 5468.75
42 7 2 5468.75
43 7 2 5468.75
44 7 6 5468.75
45 8 14 3125
46 7 14 5468.75
47 7 6 5468.75
48 7 2 5468.75
49 8 14 3125
