0 0 1.1738073675465197
0 1 1.4102665299592447
0 2 1.1738073675465197
0 3 0.992853378612264
0 4 1.1738073675465197
0 5 1.1738073675465197
0 6 1.4102665299592447
0 7 0.992853378612264
0 8 1.7732133302858215
0 9 1.1738073675465197
0 10 1.1738073675465197
0 11 1.4102665299592447
0 12 1.1738073675465197
0 13 1.1738073675465197
0 14 1.7732133302858215
0 15 1.7732133302858215
0 16 1.1738073675465197
0 17 0.992853378612264
0 18 0.992853378612264
0 19 1.7732133302858215
0 20 0.992853378612264
0 21 0.992853378612264
0 22 1.7732133302858215
0 23 0.992853378612264
0 24 1.1738073675465197
0 25 0.992853378612264
0 26 0.992853378612264
0 27 1.1738073675465197
0 28 0.992853378612264
0 29 0.992853378612264
0 30 0.992853378612264
0 31 0.992853378612264
0 32 0.992853378612264
0 33 0.992853378612264
0 34 0.992853378612264
0 35 0.992853378612264
0 36 1.4102665299592447
0 37 1.7732133302858215
0 38 0.992853378612264
0 39 1.1738073675465197
0 40 0.992853378612264
0 41 0.992853378612264
0 42 0.992853378612264
0 43 1.1738073675465197
0 44 0.992853378612264
0 45 0.992853378612264
0 46 1.7732133302858215
0 47 1.1738073675465197
0 48 1.1738073675465197
0 49 1.4102665299592447
